Linear search has a time complexity of O(n).,TRUE,4
Binary search trees can have more than two children for each node.,FALSE,8
Stacks follow the Last In First Out (LIFO) principle.,TRUE,4
Queues follow the Last In First Out (LIFO) principle.,FALSE,10
Hash tables guarantee constant-time lookup for any key.,FALSE,8
Depth-first search always finds the shortest path in a weighted graph.,FALSE,10
Dijkstra's algorithm guarantees finding the shortest path in a graph with negative edge weights.,FALSE,8
Priority queues use a First In First Out (FIFO) ordering.,FALSE,4
Merge sort is a comparison-based sorting algorithm.,TRUE,10
Radix sort sorts numbers by processing individual digits.,TRUE,8
Binary trees have at most three children per node.,FALSE,4
Tries are primarily used for sorting integers.,FALSE,10
A red-black tree ensures balance by performing rotations.,TRUE,8
Breadth-first search explores as far as possible along each branch before backtracking.,FALSE,10
Bellman-Ford algorithm can handle graphs with negative edge weights.,TRUE,8
Huffman coding is a lossy compression technique.,FALSE,4
Topological sorting can be applied to graphs with cycles.,FALSE,10
Fenwick trees require O(n log n) time for construction.,FALSE,8
A suffix tree is used for finding all occurrences of a pattern in a string.,TRUE,4
Binary heaps are commonly used to implement priority queues.,TRUE,10
A graph can only be represented using adjacency matrices.,FALSE,8
Quick sort is a stable sorting algorithm.,FALSE,4
Trie is efficient for searching prefixes of words.,TRUE,8
Binary search requires the input array to be sorted.,TRUE,4
Dijkstra's algorithm uses a priority queue to select the next vertex to explore.,TRUE,10
Floyd-Warshall algorithm finds the shortest paths between all pairs of vertices in a graph.,TRUE,8
Huffman coding guarantees a unique prefix-free code for each input character.,TRUE,4
A tree is a connected graph with no cycles.,TRUE,8
Depth-first search can be used to find the articulation points of a graph.,TRUE,4
Binary heaps have a space complexity of O(n).,FALSE,10
Radix trees are commonly used for storing strings.,TRUE,8
Breadth-first search can be used to find bridges and articulation points in a graph.,TRUE,4
AVL trees are unbalanced binary search trees.,FALSE,10
Selection sort has a time complexity of O(n^2).,TRUE,8
Prim's algorithm guarantees finding the minimum spanning tree in a graph with non-negative edge weights.,TRUE,10
Binary search trees allow duplicate keys in their structure.,FALSE,4
Graph traversal algorithms can be used to detect cycles in a graph.,TRUE,8
The load factor of a hash table is the ratio of the number of elements to the number of buckets.,TRUE,4
Kruskal's algorithm finds the shortest path in a graph with negative edge weights.,FALSE,10
Breadth-first search always visits all vertices in a graph before backtracking.,FALSE,8
A binary heap is a complete binary tree.,TRUE,4
Huffman coding produces variable-length codes for input characters.,TRUE,10
A graph can have multiple spanning trees.,TRUE,8
Binary search can only be applied to sorted arrays.,TRUE,4
Depth-first search can be implemented iteratively.,TRUE,10
A hash function always produces unique hash values for different inputs.,FALSE,8
Separate chaining resolves collisions by finding an alternative location in the hash table.,TRUE,4
Collision resolution is necessary in hash tables to handle cases where multiple keys hash to the same index.,TRUE,10
The height of a binary tree with n nodes is O(log n).,FALSE,8
Graph traversal algorithms are used to visit all vertices in a graph.,TRUE,4
Linear search is more efficient than binary search for sorted arrays.,FALSE,10
Binary search can be implemented recursively.,TRUE,8
Radix sort is an in-place sorting algorithm.,FALSE,4
Depth-first search can be used to find connected components in a graph.,TRUE,10
Depth-first search can be used to detect cycles in a graph.,TRUE,8
A hash table with separate chaining has a worst-case time complexity of O(n).,FALSE,4
Prim's algorithm uses breadth-first search to find the minimum spanning tree.,FALSE,10
Depth-first search always finds the shortest path between two vertices in a graph.,FALSE,8
A forest is a connected graph with no cycles.,FALSE,4
